waiver_id,rtl_object,coverage_kind,classification,frozen_sku_basis,verification_evidence,disposition
FSKU-001,rtl/axi/dsm_ip_axi_top.v:404 abs_rf(16'sh8000),line,arithmetic_impossible,"BP EFDSM2 is one-bit and dsm_core_ef2 defines Y_POS=16'sh7fff and Y_NEG=-Y_POS. The frozen RF path can emit only +32767 or -32767.","dsm_rf_protocol_sva.p_rf_encoding and p_rf_signed_not_min passed in the post-SVA 300-run VCS regression; the checksum-correct URG line exclusion was applied successfully on 2026-08-21.",waived_for_frozen_sku
FSKU-002,rtl/dpd/dpd_frontend.v:g_poly_enabled,module,line/condition/toggle/branch,feature_gated,"ENABLE_DPD_POLY=0 in uvm_verif/env/dsm_uvm_config.svh. The Performance SKU does not elaborate the polynomial execution datapath.","Capability and public AXI behavior remain covered by system UVM; Poly DPD requires a separately configured SKU regression.",waived_for_frozen_sku
FSKU-003,rtl/dpd/dpd_frontend.v:g_lut_enabled and rtl/dpd/dpd_lut.v,module,line/condition/toggle/branch,feature_gated,"ENABLE_DPD_LUT=0 in uvm_verif/env/dsm_uvm_config.svh. The Performance SKU does not elaborate LUT execution or LUT bank state.","dsm_wstrb_semantics_coverage_test covers the enabled wrapper byte-write/readback contract; LUT execution requires a separately configured SKU regression.",waived_for_frozen_sku
FSKU-004,rtl/axi/dsm_ip_axi_top.v:428 abs_s32(32'sh8000_0000),line,overflow_protection,"The wrapper's finite signed 32-bit monitor/spectral arithmetic can reach the signed minimum under a sufficiently long legal accumulation window, so this defensive branch is not mathematically impossible.","No source exclusion is approved until a bounded-window proof or dedicated overflow test is reviewed.",open_not_waived
FSKU-005,active Performance-SKU RTL residual bins,line/condition/toggle/branch,coverage_gap,"dsm_interp_fir_fixed, dpd_observer, dpd_memory_poly and wrapper toggles remain structurally active in the frozen SKU.","Use URG source pages plus legal directed tests. Do not classify active branches as waived merely because random regression did not hit them.",open_not_waived
FSKU-006,"dsm_interp_fir_fixed specialization NTAPS=29, INTERP=8, COEFF_SET=2 (u_cic_i/u_cic_q): coeff_comp() and coeff() else branch",line,parameter_specialization,"The frozen x32 frontend instantiates the CIC-equivalent FIR with COEFF_SET=2. Its coefficient selector can only call coeff_cic(); coeff_comp() is compile-time unreachable in this specialization.","The checksum-correct URG line exclusion was generated from the 300-run VDB and applied successfully on 2026-08-21. The instance parameters are recorded in URG mod24.html and mode-4 interpolation bit-true regression passed.",waived_for_frozen_sku
FSKU-007,"dsm_interp_fir_fixed specialization NTAPS=29, INTERP=8, COEFF_SET=2 (u_cic_i/u_cic_q): coeff_cic indexes 15..28 and default",line,parameter_specialization,"The symmetric 29-tap architecture computes PAIRS=14 plus center index 14. It can request coeff_cic() indexes 0..14 only; the mirrored coefficients 15..28 and default are not addressed by this instance.","The checksum-correct URG line exclusion was generated from the 300-run VDB and applied successfully on 2026-08-21. PAIRS=NTAPS/2 and the center access are defined in rtl/interp/dsm_interp_fir_fixed.sv.",waived_for_frozen_sku
FSKU-008,"dsm_interp_fir_fixed specialization NTAPS=63, INTERP=1, COEFF_SET=3 (u_comp_i/u_comp_q): coeff_cic() and coeff() if branch",line,parameter_specialization,"The frozen x32 frontend instantiates the compensation FIR with COEFF_SET=3. Its coefficient selector can only call coeff_comp(); coeff_cic() is compile-time unreachable in this specialization.","The checksum-correct URG line exclusion was generated from the 300-run VDB and applied successfully on 2026-08-21. The instance parameters are recorded in URG mod24.html and mode-4 interpolation bit-true regression passed.",waived_for_frozen_sku
FSKU-009,"dsm_interp_fir_fixed specialization NTAPS=63, INTERP=1, COEFF_SET=3 (u_comp_i/u_comp_q): coeff_comp indexes 32..62 and default",line,parameter_specialization,"The symmetric 63-tap architecture computes PAIRS=31 plus center index 31. It can request coeff_comp() indexes 0..31 only; the mirrored coefficients 32..62 and default are not addressed by this instance.","The checksum-correct URG line exclusion was generated from the 300-run VDB and applied successfully on 2026-08-21. PAIRS=NTAPS/2 and the center access are defined in rtl/interp/dsm_interp_fir_fixed.sv.",waived_for_frozen_sku
FSKU-010,rtl/dpd/dpd_memory_poly.v:pipe_ce and valid_pipe[PIPE_STAGES-1],condition/toggle,reachable,"The enabled Memory-Poly5 4-tap implementation can legally deassert in_ready when its ten-stage pipeline is full and downstream backpressure is asserted.","tb_dpd_memory_poly_random_protocol directly drives the reusable core with a unit-gain exact oracle, random output backpressure, output-stability checks, and mandatory full-pipeline input stalls. It awaits a trustworthy current VCS/XSim PASS log; the system top cannot independently drive this downstream-ready boundary.",open_not_waived
FSKU-011,rtl/dpd/dpd_observer.v:167 abs_s32(32'sh8000_0000),line,overflow_protection,"Observer spectral accumulators are finite signed 32-bit counters. A sufficiently long legal window can reach the signed minimum, so this defensive branch is not mathematically impossible.","overflow_flags[4] is the software rejection mechanism; no source exclusion is approved until a bounded-window proof or dedicated overflow test is reviewed.",open_not_waived
